流水號,文字記錄,配置,刺殺,分類,日期時間,場次,頁碼,note,玩1,玩2,玩3,玩4,玩5,玩6,玩7,玩8,玩9,玩0,結果,第一局成功失敗,第二局成功失敗,第三局成功失敗,第四局成功失敗,第五局成功失敗,第一局,第二局,第三局,第四局,第五局,組成,強人,戳人,局勢,首湖,二湖,三湖,首湖玩家,二湖玩家,三湖玩家,角1,角4,角5,角0,2025-01-01 00:00:00,派5,派0,外灑
1911,"148
278
356
278 4+
158
oox
3670
1278
2780
3590
2780
ooox
0>5 o
1250
2357 37-
3590
3459 70+3-
3590
xxxx",039547,,線瓦,2025-07-30 00:00:00,1,,,小向,HAO,JOY,豬豬,Sin,亞可,尼克,Dean,ED,轆,三紅,oox,ooox,xxxx,,,紅,紅,紅,,,"小向, HAO, JOY, 豬豬, SIN, 亞可, 尼克, DEAN, ED, 轆",5,2,紅紅紅,0>5,,,刺,奧,,忠,派,奧,刺,148,N,N,N
1912,"156
279
359
140
359
ooo
3569
3579
3589
3569 4+
3590
ooox
0>7 o
1569
2370 9+7-
3578
3456 3-
3579
ooox
7>3 x
15689
12478 1-
24678 67-
12569 34+
oooox
3>4 o
15790 1579-
14569 38+
oooox",368270,,線瓦,2025-07-30 00:00:00,2,,,Dean,亞可,HAO,轆,尼克,JOY,小向,豬豬,菜,Sin,三紅,ooo,ooox,ooox,oooox,oooox,藍,紅,紅,藍,紅,"DEAN, 亞可, HAO, 轆, 尼克, JOY, 小向, 豬豬, 菜, SIN",4,2,藍紅紅藍紅,0>7,7>3,3>4,梅,派,刺,忠,忠,忠,梅,156,Y,N,N
1913,"127
246
370
140
256
ooo
1256
2567
2568
2569 4+
2560
ooox
0>3 o
1456
2469
2346 46-
2456
2456
ooox
3>9 o
12578 69+58-
25679 2-
12678 45+
ooooo
9>8 o
26789 2-
13890 1389-
12678 40+2678-
25678 490+
ooooo",403187,7.0,線瓦,2025-07-30 00:00:00,3,,,尼克,JOY,Sin,菜,轆,HAO,豬豬,小向,亞可,Dean,三藍死,ooo,ooox,ooox,ooooo,ooooo,藍,紅,紅,藍,藍,"尼克, JOY, SIN, 菜, 轆, HAO, 豬豬, 小向, 亞可, DEAN",4,2,藍紅紅藍藍,0>3,3>9,9>8,娜,德,忠,奧,刺,忠,娜,127,N,N,N
1914,"567 1+
247
378
145
156
ooo
1456
1278 8-
1568 4+
1569
1560
ooox
0>6 x
1456
1247 1-
3578 8-
1458
1458
oooo
6>8 o
14568 29+
ooooo",370985,5.0,線瓦,2025-07-30 00:00:00,4,,,尼克,小向,Dean,HAO,豬豬,Sin,亞可,JOY,菜,轆,三藍死,ooo,ooox,oooo,ooooo,,藍,紅,藍,藍,,"尼克, 小向, DEAN, HAO, 豬豬, SIN, 亞可, JOY, 菜, 轆",4,2,藍紅藍藍,0>6,6>8,,德,忠,派,忠,忠,梅,德,567,Y,N,Y
1915,"179
234
340
246
458
oox
2469
1479
6890
2469
2460
ooox
0>4 o
1470
1247
3470 47-
1247 35689+
ooox",513096,,線瓦,2025-07-31 00:00:00,1,,,黑羊,菜,軒,HAO,小向,黃某人,尼克,豬豬,轆,fancy,三紅,oox,ooox,ooox,,,紅,紅,紅,,,"黑羊, 菜, 軒, HAO, 小向, 黃某人, 尼克, 豬豬, 轆, FANCY",3,4,紅紅紅,0>4,,,奧,忠,,娜,忠,刺,奧,179,N,N,N
1916,"235 1+
258
139
456
258
oox
1560
1379
1368
3579
1560
ooox
0>4 o
1359
1359 2+
1359 2+
2689 269-470+
1359
oooo
4>8 o
12359 680+
ooooo
8>1 o
12359 3-4780+
ooooo",047869,1.0,線瓦,2025-07-31 00:00:00,2,,,HAO,fancy,轆,菜,豬豬,尼克,黑羊,黃某人,小向,軒,三藍活,oox,ooox,oooo,ooooo,ooooo,紅,紅,藍,藍,藍,"HAO, FANCY, 轆, 菜, 豬豬, 尼克, 黑羊, 黃某人, 小向, 軒",3,4,紅紅藍藍藍,0>4,4>8,8>1,刺,娜,奧,忠,娜,忠,刺,235,Y,N,Y
1917,"167
260 9+
379
248
357
oox
1267
2790
2890
2790
2790 3-
oooo
0>5 x
2790 1468+
oooo
5>7 o
23790 145+
ooooo",615408,7.0,線瓦,2025-07-31 00:00:00,3,,,豬豬,轆,HAO,小向,黑羊,fancy,菜,Sin,尼克,洋蔥,三藍活,oox,oooo,oooo,ooooo,,紅,藍,藍,藍,,"豬豬, 轆, HAO, 小向, 黑羊, FANCY, 菜, SIN, 尼克, 洋蔥",4,2,紅藍藍藍,0>5,5>7,,派,德,忠,娜,奧,德,派,167,N,N,N
1918,"169
267
139
568 4+
256
oox
2670
1579
4680 6-
1690
1690
ooox
0>5 o
1357
2689 9-
1357
4560 0-
1590
ooox",849213,,線瓦,2025-08-04 00:00:00,1,,,菜,黃某人,Sin,轆,亞可,池,fancy,布冬,HAO,黑羊,三紅,oox,ooox,ooox,,,紅,紅,紅,,,"菜, 黃某人, SIN, 轆, 亞可, 池, FANCY, 布冬, HAO, 黑羊",4,2,紅紅紅,0>5,,,忠,忠,,派,娜,忠,忠,169,N,N,N
1919,"147
239
345
145 0+
145
ooo
1456
4579
1458 3+
2590
1450
ooox
0>5 o
1569
2590
3458
2459
2590
ooox
5>9 o
12569 12-
24579 49-
46789 469-
12569 348+
ooooo
9>2 o
25690 8+25690-
12569 3470+
ooooo",830764,4.0,線瓦,2025-08-04 00:00:00,2,,,黑羊,亞可,菜,fancy,Sin,小向,布冬,豬豬,轆,黃某人,三藍死,ooo,ooox,ooox,ooooo,ooooo,藍,紅,紅,藍,藍,"黑羊, 亞可, 菜, FANCY, SIN, 小向, 布冬, 豬豬, 轆, 黃某人",2,4,藍紅紅藍藍,0>5,5>9,9>2,德,忠,忠,忠,梅,忠,德,147,N,N,N
1920,"168
578 2+
348
358 4+
257
oox
1268
3780
1348 14-
1689
4580
ooox
0>8 o
1280
1268 0+
3489
3489 12567+
ooxx",537941,,線瓦,2025-08-04 00:00:00,3,,,K810,黑羊,轆,尼克,小向,fancy,黃某人,Sin,亞可,池,三紅,oox,ooox,ooxx,,,紅,紅,紅,,,"K810, 黑羊, 轆, 尼克, 小向, FANCY, 黃某人, SIN, 亞可, 池",3,3,紅紅紅,0>8,,,忠,忠,,梅,派,刺,忠,168,N,N,N
1921,"178
280
134 4-
470
457
ooo
4567 7-
4579
4780 4-
4579
4570
ooox
0>4 o
1457 3+
2579 7-3+
3457 57-
1479 38+
oooo
4>7 o
14579 1-3+
14679 9-23+
oooox",630214,1.0,線瓦,2025-08-04 00:00:00,4,,,fancy,轆,K810,池,尼克,小向,菜,黑羊,Sin,亞可,三藍活,ooo,ooox,oooo,oooox,,藍,紅,藍,藍,,"FANCY, 轆, K810, 池, 尼克, 小向, 菜, 黑羊, SIN, 亞可",3,2,藍紅藍藍,0>4,4>7,,德,梅,忠,派,梅,忠,德,178,N,N,N
