流水號,文字記錄,配置,刺殺,分類,日期時間,場次,頁碼,note,玩1,玩2,玩3,玩4,玩5,玩6,玩7,玩8,玩9,玩0,結果,第一局成功失敗,第二局成功失敗,第三局成功失敗,第四局成功失敗,第五局成功失敗,第一局,第二局,第三局,第四局,第五局,組成,強人,戳人,局勢,首湖,二湖,三湖,首湖玩家,二湖玩家,三湖玩家,角1,角4,角5,角0,2025-01-01 00:00:00,派5,派0,外灑
1026,"169
237
360
467
560
ooo
3560
5670
5680
1369
3560
ooxx
0>4 o
1459
1246
3489
1490 28+
ooox
4>9 o
14579 1-
14569 1459-
14579
13489 149-
14579
ooooo
12459 1459-
13579 1579-
14579
ooooo",283071,1.0,面瓦,2024-02-24 00:00:00,4,,[2025/8/14 update]湖女,ED,Sin,Vash,Ray,海月,奈奈,JOY,Dean,雪怪,婷婷,三藍死,ooo,ooxx,ooox,ooooo,ooooo,藍,紅,紅,藍,藍,"ED, SIN, VASH, RAY, 海月, 奈奈, JOY, DEAN, 雪怪, 婷婷",5,1,藍紅紅藍藍,0>4,4>9,,奧,忠,忠,梅,忠,忠,奧,169,N,N,N
1027,"168
278
357
458
458
ooo
4690 4-
4580 4- 7+
2458
4589
4580
ooox
0>8 o
1458
1248
1358
4589
2458
oooo
8>4 o
24568 
oooox",307145,8.0,面瓦,2024-02-24 00:00:00,5,,,婷婷,海月,Dean,奈奈,雪怪,Vash,Ray,Sin,JOY,ED,三藍活,ooo,ooox,oooo,oooox,,藍,紅,藍,藍,,"婷婷, 海月, DEAN, 奈奈, 雪怪, VASH, RAY, SIN, JOY, ED",5,1,藍紅藍藍,0>8,8>4,,娜,忠,派,奧,派,梅,娜,168,N,N,N
1028,"156
278
348
470
258
ooo
2568
2578
2578
1269
2580
ooox
0>6 o
1256 6- 7+
1268
2368
2678 40+
ooox
6>4 x
12568 268-
13670 4+
13670 4+
ooooo
4>5 o
13670 4+ 0-
16780 670-
13567 367- 9+
13670 49+
oooxx",497062,,面瓦,2024-02-24 00:00:00,6,,,奈奈,雪怪,Vash,Ray,Sin,JOY,ED,婷婷,海月,Dean,三紅,ooo,ooox,ooox,ooooo,oooxx,藍,紅,紅,藍,紅,"奈奈, 雪怪, VASH, RAY, SIN, JOY, ED, 婷婷, 海月, DEAN",5,1,藍紅紅藍紅,0>6,6>4,4>5,奧,派,刺,忠,刺,忠,奧,156,Y,N,N
1029,"126
260
368
459
589
ooo
1269
2378
4589
3589
5890
ooox
0>4 o
1259
1269
3480
4589
1589
ooxx
4>9 o
23469 4-
23789 2-
34789 479-
23469 18+
ooooo
9>6 o
34690 349-
23469 34- 1+
23469 34-
34689 4- 1+
34690
oooox",570123,,面瓦,2024-02-24 00:00:00,7,,,JOY,ED,婷婷,海月,Dean,奈奈,雪怪,Vash,Ray,Sin,三紅,ooo,ooox,ooxx,ooooo,oooox,藍,紅,紅,藍,紅,"JOY, ED, 婷婷, 海月, DEAN, 奈奈, 雪怪, VASH, RAY, SIN",5,1,藍紅紅藍紅,0>4,4>9,9>6,德,忠,忠,奧,忠,刺,德,126,N,N,N
1030,"148
258
369
490
158
ooo
1580 6+
4578
1258
2390
1580
ooox
0>4 o
1458 4-
2458 4-
3469
2458
2458
oooo
4>2 o
24568 0+
oooox",670134,2.0,面瓦,2024-02-24 00:00:00,8,,,海月,Dean,小亞,JOY,雪怪,Ray,奈奈,Sin,Vash,ED,三藍活,ooo,ooox,oooo,oooox,,藍,紅,藍,藍,,"海月, DEAN, 小亞, JOY, 雪怪, RAY, 奈奈, SIN, VASH, ED",5,1,藍紅藍藍,0>4,4>2,,德,梅,忠,奧,梅,忠,德,148,N,N,N
1031,"137
125
238
459
259
oox
1256
1267
4589
1469
1560
ooxx
0>8 o
1280 280-
2357 3-
2348 8-
1248
ooox",375198,,面瓦,2024-02-24 00:00:00,9,,,小亞,JOY,雪怪,Ray,奈奈,Sin,Vash,ED,海月,Dean,三紅,oox,ooxx,ooox,,,紅,紅,紅,,,"小亞, JOY, 雪怪, RAY, 奈奈, SIN, VASH, ED, 海月, DEAN",5,1,紅紅紅,0>8,,,忠,梅,,奧,忠,德,忠,137,N,N,N
1032,"456 1+
260
356
470
356
oxx
7890 6+
2478 4-
1280
2490
2490
oooo
0>2 o
2490 16+
oooo
2>4 x
12789
oooox",143580,6.0,面瓦,2024-02-24 00:00:00,10,,,海月,Dean,小亞,JOY,雪怪,Ray,奈奈,Sin,Vash,ED,三藍活,oxx,oooo,oooo,oooox,,紅,藍,藍,藍,,"海月, DEAN, 小亞, JOY, 雪怪, RAY, 奈奈, SIN, VASH, ED",5,1,紅藍藍藍,0>2,2>4,,梅,忠,娜,刺,娜,奧,梅,456,Y,N,Y
1033,"134
236
350
459
359
oox
2467
1479
1890
1489
1470
ooox
0>3 o
1234 34-
2360
1389 70+
ooxx",179234,,面瓦,2024-02-24 00:00:00,11,,,Ray,雪怪,JOY,奈奈,小亞,海月,Vash,Dean,Sin,ED,三紅,oox,ooox,ooxx,,,紅,紅,紅,,,"RAY, 雪怪, JOY, 奈奈, 小亞, 海月, VASH, DEAN, SIN, ED",5,1,紅紅紅,0>3,,,忠,派,,刺,梅,忠,忠,134,N,N,N
1034,"167
256
345 9+
347
356
oox
2680
1270
2680
1269
2680
oooo
0>2 o
2680
ooox
2>6 o
12469 8+
ooooo
6>4 o
23460 2460-
24690
24569 49-
24690 2- 15+
35789
xxxxo",975823,,面瓦,2024-02-24 00:00:00,12,,,JOY,奈奈,小亞,海月,Vash,Dean,Sin,ED,Ray,雪怪,三紅,oox,oooo,ooox,ooooo,xxxxo,紅,藍,紅,藍,紅,"JOY, 奈奈, 小亞, 海月, VASH, DEAN, SIN, ED, RAY, 雪怪",5,1,紅藍紅藍紅,0>2,2>6,6>4,忠,派,忠,忠,忠,德,忠,167,N,N,N
1035,"158
260
378
470
560
oox
2679
3790
3890
2890
3890
ooxx
0>5 o
1458
1260 160-
3457
4570
3457
oooo
5>6 o",810965,4.0,面瓦,2024-02-24 00:00:00,13,,,奈奈,小亞,海月,Vash,Dean,Sin,ED,Ray,雪怪,JOY,三藍活,oox,ooxx,oooo,,,紅,紅,藍,,,"奈奈, 小亞, 海月, VASH, DEAN, SIN, ED, RAY, 雪怪, JOY",5,1,紅紅藍,0>5,5>6,,德,梅,派,娜,忠,梅,德,158,Y,N,N
1036,"178
280
356
246
456
oox
2678
1278
2678 5+
2379
1260
ooox
0>6 x
1257
1267 8+
2368 9+
2478
ooox",012569,,面瓦,2024-02-24 00:00:00,14,,,Sin,ED,Ray,雪怪,JOY,奈奈,小亞,海月,Vash,Dean,三紅,oox,ooox,ooox,,,紅,紅,紅,,,"SIN, ED, RAY, 雪怪, JOY, 奈奈, 小亞, 海月, VASH, DEAN",5,1,紅紅紅,0>6,,,刺,派,,娜,忠,奧,刺,178,N,N,N
1037,"168
258
369
458
359
oox
1360
2679 2-
2580 4+
2890
2580
ooox
0>5 x
1269
6890 12+
ooxx",875946,,線瓦,2024-02-24 00:00:00,1,,,黑羊,呂安,布冬,TEN,池,黃某人,大星,洋蔥,JOY,Sin,三紅,oox,ooox,ooxx,,,紅,紅,紅,,,"黑羊, 呂安, 布冬, TEN, 池, 黃某人, 大星, 洋蔥, JOY, SIN",3,4,紅紅紅,0>5,,,忠,德,,忠,派,德,忠,168,N,N,N
1038,"178 2+
267
358
249
567
oox
1269
1780
1380
1269 4+
2490
ooox
0>1 o
1269 0+2-
2469 0+
2369 0+2-
2679 1480+
ooox",059342,,線瓦,2024-02-24 00:00:00,2,,,TEN,JOY,黑羊,洋蔥,呂安,大星,布冬,黃某人,Sin,池,三紅,oox,ooox,ooox,,,紅,紅,紅,,,"TEN, JOY, 黑羊, 洋蔥, 呂安, 大星, 布冬, 黃某人, SIN, 池",3,4,紅紅紅,0>1,,,刺,忠,,忠,派,娜,刺,178,N,N,N
1039,"170
258
360
147
157
oxx
3680 5+
2780 5+80-
3680 579+
ooox
0>2 o
3689 57+68-
2480 567+
ooxx",520743,,線瓦,2024-02-24 00:00:00,3,,,黑羊,TEN,呂安,大星,池,洋蔥,黃某人,發達,布冬,JOY,三紅,oxx,ooox,ooxx,,,紅,紅,紅,,,"黑羊, TEN, 呂安, 大星, 池, 洋蔥, 黃某人, 發達, 布冬, JOY",3,4,紅紅紅,0>2,,,德,娜,,忠,派,刺,德,170,N,Y,N
1040,"127
269
340
479 9-
589
ooo
5689
5789
1589
3589
5890
oooo
0>5 o
5890
oooo",364719,9.0,面瓦,2024-03-02 00:00:00,1,,台中,Dean,雪怪,JOY,海月,池,企鵝,TEN,Arth,豪豪,米奇,三藍死,ooo,oooo,oooo,,,藍,藍,藍,,,"DEAN, 雪怪, JOY, 海月, 池, 企鵝, TEN, ARTH, 豪豪, 米奇",3,2,藍藍藍,0>5,,,忠,忠,,派,德,忠,忠,127,N,N,N
1041,"180
237
360
246 8+
350
ooo
3560
3570
3580
2350 30- 79+
3560
oooo
0>5 o
3560
oooo",914765,6.0,面瓦,2024-03-02 00:00:00,2,,台中,Dean,雪怪,JOY,海月,池,Tang,TEN,Arth,豪豪,米奇,三藍活,ooo,oooo,oooo,,,藍,藍,藍,,,"DEAN, 雪怪, JOY, 海月, 池, TANG, TEN, ARTH, 豪豪, 米奇",3,2,藍藍藍,0>5,,,忠,梅,,娜,德,梅,忠,180,N,Y,N
1042,"168
258
370
250 4+
240
ooo
1680
1378
2480
1590
2480
ooox
0>2 o
1267
1260
2349
1247
2450
ooox
2>8 o
12680
13478 8-
12678 39+
ooooo
8>7 x
12689 1268-
12568 128- 0+
12568 8- 90+
ooooo",379402,6.0,面瓦,2024-03-02 00:00:00,3,,台中,Tang,TEN,Arth,豪豪,米奇,Dean,雪怪,JOY,海月,池,三藍活,ooo,ooox,ooox,ooooo,ooooo,藍,紅,紅,藍,藍,"TANG, TEN, ARTH, 豪豪, 米奇, DEAN, 雪怪, JOY, 海月, 池",3,2,藍紅紅藍藍,0>2,2>8,8>7,派,梅,忠,忠,奧,忠,派,168,N,N,N
1043,"167
259
347
468 1+
167
ooo
1567
1678
1678 9+
1678 9+
1670
ooox
0>8 o
5678 1+
1268
1678 6- 3+
1468
5678
oooo
8>5 o
15678
oooox",492167,6.0,面瓦,2024-03-02 00:00:00,4,,台中,米奇,Dean,雪怪,JOY,海月,池,Vinnie,TEN,Arth,豪豪,三藍活,ooo,ooox,oooo,oooox,,藍,紅,藍,藍,,"米奇, DEAN, 雪怪, JOY, 海月, 池, VINNIE, TEN, ARTH, 豪豪",3,2,藍紅藍藍,0>8,8>5,,忠,忠,忠,奧,刺,忠,忠,167,N,N,N
1044,"168
278 6+
345
459
135
oox
2467
3670
1289
1469
2570
ooxx
0>5 x
1246 6-
2468 9+
2346 26-
2469
ooox",285790,,面瓦,2024-03-02 00:00:00,5,,台中,米奇,Dean,雪怪,JOY,海月,池,Vinnie,TEN,Arth,豪豪,三紅,oox,ooxx,ooox,,,紅,紅,紅,,,"米奇, DEAN, 雪怪, JOY, 海月, 池, VINNIE, TEN, ARTH, 豪豪",3,2,紅紅紅,0>5,,,梅,德,,忠,忠,德,梅,168,N,N,N
1045,"159
248
359 0+
456
456
oxx
1678 8-
7890
1379 48+
oooo
0>7 o
1379
oooo
7>8 o
13789
oooxx
8>3 x
12780 7- 6+
12780
ooooo",943510,0.0,面瓦,2024-03-02 00:00:00,6,,台中,Arth,豪豪,米奇,Dean,雪怪,JOY,海月,池,Vinnie,TEN,三藍死,oxx,oooo,oooo,oooxx,ooooo,紅,藍,藍,紅,藍,"ARTH, 豪豪, 米奇, DEAN, 雪怪, JOY, 海月, 池, VINNIE, TEN",3,2,紅藍藍紅藍,0>7,7>8,8>3,梅,忠,忠,派,娜,奧,梅,159,Y,N,N
1046,"147
250
389
460 78+
358
oox
4678
1678
2478
3689 6-
3460
ooox
0>3 x
1467 8+
2589 58-
1378 18-
4578 0+
4567
oooo
3>5 o
45678
ooooo
5>8 x
45670
oooox",029831,,面瓦,2024-03-02 00:00:00,7,,台中,Arth,豪豪,米奇,Dean,雪怪,JOY,海月,池,Tang,TEN,三紅,oox,ooox,oooo,ooooo,oooox,紅,紅,藍,藍,紅,"ARTH, 豪豪, 米奇, DEAN, 雪怪, JOY, 海月, 池, TANG, TEN",3,2,紅紅藍藍紅,0>3,3>5,5>8,刺,派,忠,梅,忠,忠,刺,147,N,N,N
1047,"168
125 6+
389
456
256
oox
4690
4678
3678
1490 6+
1450
ooox
0>6 x
1249 2- 6+
2450 40- 6+
4590 40- 36+
1490
ooxx",684950,,面瓦,2024-03-02 00:00:00,8,,台中,米奇,Dean,雪怪,JOY,海月,池,Tang,TEN,Arth,豪豪,三紅,oox,ooox,ooxx,,,紅,紅,紅,,,"米奇, DEAN, 雪怪, JOY, 海月, 池, TANG, TEN, ARTH, 豪豪",3,2,紅紅紅,0>6,,,梅,刺,,忠,德,派,梅,168,N,N,N
1048,"179
257
360
457
570
oxx
1368 38-
1369 7+
3689 25+
ooox
0>5 o
1349 13- 0+
0123
1348 8+ 0+
1239 9- 60+
1389
oooo
5>3 o
13489
ooooo
3>4 o
13489
ooooo",267054,1.0,面瓦,2024-03-02 00:00:00,9,,台中,海月,池,Tang,TEN,Arth,豪豪,米奇,Dean,雪怪,JOY,三藍活,oxx,ooox,oooo,ooooo,ooooo,紅,紅,藍,藍,藍,"海月, 池, TANG, TEN, ARTH, 豪豪, 米奇, DEAN, 雪怪, JOY",3,2,紅紅藍藍藍,0>5,5>3,3>4,奧,派,忠,忠,梅,派,奧,179,N,N,N
1049,"178
239
357
479
579
oox
3678 8-
2370
2589
2890
2390
ooox
0>5 o
1358 8-
2358 8-
3568 5- 7+
4590 90- 7+
4589
ooox",712498,,面瓦,2024-03-02 00:00:00,10,,台中,Arth,豪豪,米奇,Dean,雪怪,JOY,海月,池,Tang,TEN,三紅,oox,ooox,ooox,,,紅,紅,紅,,,"ARTH, 豪豪, 米奇, DEAN, 雪怪, JOY, 海月, 池, TANG, TEN",3,2,紅紅紅,0>5,,,忠,忠,,娜,奧,忠,忠,178,N,N,N
1050,"140
268
390 1+
147
157
oox
1690 9-
3789
1389
6789
1360
oxxx
0>1 o
2489 9- 13+
2489 4- 130+
ooox",091374,,面瓦,2024-03-02 00:00:00,11,,台中,JOY,TEN,Arth,豪豪,米奇,Dean,雪怪,海月,企鵝,池,三紅,oox,oxxx,ooox,,,紅,紅,紅,,,"JOY, TEN, ARTH, 豪豪, 米奇, DEAN, 雪怪, 海月, 企鵝, 池",3,2,紅紅紅,0>1,,,刺,德,,德,梅,忠,刺,140,N,Y,N
1051,"179
256
345 7+
459 8+
245
oox
2690
3479
3480
3490
5690
ooox
0>5 x
1689
2369
3479
3489 3+ 120+
ooox",125893,,面瓦,2024-03-02 00:00:00,12,,台中,雪怪,海月,企鵝,池,JOY,TEN,Arth,豪豪,米奇,Dean,三紅,oox,ooox,ooox,,,紅,紅,紅,,,"雪怪, 海月, 企鵝, 池, JOY, TEN, ARTH, 豪豪, 米奇, DEAN",3,2,紅紅紅,0>5,,,忠,德,,刺,忠,德,忠,179,N,N,N
1052,"127
258
370
249
159
oxx
3670
3678
4780 4-
6789
6780
ooox
0>3 o
1367 37-
2367 4+
2367 190+
ooxx",712584,,線瓦,2024-03-01 00:00:00,1,,,尼克,HAO,TEN,池,Dean,豬羊,洋蔥,Sin,sbear,Liang,三紅,oxx,ooox,ooxx,,,紅,紅,紅,,,"尼克, HAO, TEN, 池, DEAN, 豬羊, 洋蔥, SIN, SBEAR, LIANG",5,3,紅紅紅,0>3,,,忠,忠,,娜,梅,奧,忠,127,N,N,N
1053,"169
237
367
149
157
oox
2689
2369 69-7+
5680
2690
1570
ooxx
0>3 o
1349 9-
2367 6-50+
3450
xxxx",435096,,線瓦,2024-03-01 00:00:00,2,,,TEN,黑羊,HAO,Liang,豬羊,池,洋蔥,ED,尼克,sbear,三紅,oox,ooxx,xxxx,,,紅,紅,紅,,,"TEN, 黑羊, HAO, LIANG, 豬羊, 池, 洋蔥, ED, 尼克, SBEAR",5,3,紅紅紅,0>3,,,奧,娜,,忠,刺,德,奧,169,N,N,N
1054,"167
238
356
479
590
ooo
5690
5790 6+
5890
3590
4590
oooo
0>4 o
4590
oooo",682175,9.0,線瓦,2024-03-01 00:00:00,3,,,Dean,sbear,黑羊,豬羊,ED,池,Liang,洋蔥,尼克,HAO,三藍活,ooo,oooo,oooo,,,藍,藍,藍,,,"DEAN, SBEAR, 黑羊, 豬羊, ED, 池, LIANG, 洋蔥, 尼克, HAO",6,2,藍藍藍,0>4,,,忠,忠,,奧,忠,梅,忠,167,N,N,N
1055,"147
260
356
479
590
oox
5690
5790 6+
5890
3590
4590
oooo
0>2 o
4590
oooo
2>9 o
26890 13457+
oooox",458706,2.0,線瓦,2024-03-01 00:00:00,4,,,Liang,豬羊,黃某人,HAO,黑羊,kevin,ED,尼克,午夜,TEN,三藍活,oox,oooo,oooo,oooox,,紅,藍,藍,藍,,"LIANG, 豬羊, 黃某人, HAO, 黑羊, KEVIN, ED, 尼克, 午夜, TEN",3,4,紅藍藍藍,0>2,2>9,,派,忠,忠,忠,刺,娜,派,147,N,N,N
1056,"158
248
370
456
258
ooo
2568
2578
2578 1+
2578 149+ 8-
ooox
0>2 o
2580 3+
1268
2580
2380 7+
2480
ooox
2>5 o
25890 8-
25680 28-
23579 2359-
13568 24+ 56-
25690
ooooo
5>8 o
25890 8-
12589 7+ 2589-
25890 6+
ooooo",714356,5.0,線瓦,2024-03-01 00:00:00,5,,,ED,黑羊,Dean,豬羊,午夜,尼克,HAO,池,Liang,sbear,三藍活,ooo,ooox,ooox,ooooo,ooooo,藍,紅,紅,藍,藍,"ED, 黑羊, DEAN, 豬羊, 午夜, 尼克, HAO, 池, LIANG, SBEAR",5,3,藍紅紅藍藍,0>2,2>5,5>8,忠,忠,派,娜,德,派,忠,158,Y,N,N
1057,"179
237
459 3+
145
345
oox
2367 2-
1279
2780
1247 9+4-
2470
ooox
0>4 o
1237 2-
1249 3+
1234 2-
3490 267+
oxxx",140328,,線瓦,2024-03-01 00:00:00,6,,,雪怪,KEVIN,池,HAO,Sin,黃某人,豬羊,尼克,午夜,Liang,三紅,oox,ooox,oxxx,,,紅,紅,紅,,,"雪怪, KEVIN, 池, HAO, SIN, 黃某人, 豬羊, 尼克, 午夜, LIANG",3,3,紅紅紅,0>4,,,德,娜,,刺,娜,忠,德,179,N,N,N
1058,"168
234 7+
389
248 7+
259
ooo
2670 7-
2378
2589 3+
2459 137+
oooo
0>5 o
2590 7+29-
2459
oooo",638714,9.0,線瓦,2024-03-01 00:00:00,7,,,Dean,Liang,ED,Hao,豬羊,尼克,池,午夜,黑羊,sbear,三藍活,ooo,oooo,oooo,,,藍,藍,藍,,,"DEAN, LIANG, ED, HAO, 豬羊, 尼克, 池, 午夜, 黑羊, SBEAR",5,3,藍藍藍,0>5,,,忠,忠,,派,梅,忠,忠,168,N,N,N
1059,"168
127
340
348
156
oox
6790 90-
1470
1380
5890 0-
2360
ooxx
0>4 x
1358
1257 7-
1379 19-
2345
xxxx",254317,,面瓦,2024-03-02 00:00:00,13,,台中,米奇,Dean,雪怪,海月,企鵝,池,JOY,TEN,Arth,豪豪,三紅,oox,ooxx,xxxx,,,紅,紅,紅,,,"米奇, DEAN, 雪怪, 海月, 企鵝, 池, JOY, TEN, ARTH, 豪豪",3,2,紅紅紅,0>4,,,忠,德,,派,德,娜,忠,168,N,N,N
1060,"167
257
368
459
359
oox
2468
2670
2689 2-
1789 1-
3590
ooxx
0>3 x
1368
2367 7-
3678 67- 10+
4568
2450
xxxx",205479,,面瓦,2024-03-02 00:00:00,14,,台中,米奇,Dean,雪怪,海月,企鵝,池,JOY,TEN,Arth,豪豪,三紅,oox,ooxx,xxxx,,,紅,紅,紅,,,"米奇, DEAN, 雪怪, 海月, 企鵝, 池, JOY, TEN, ARTH, 豪豪",3,2,紅紅紅,0>3,,,娜,忠,,忠,奧,德,娜,167,N,N,N
1061,"146
234
380 1+
479
358
oox
1369 9-
4789
4890
4579
1470
oooo
0>1 o
1470
oooo
1>4 o
12470
ooooo",536819,0.0,面瓦,2024-03-02 00:00:00,15,,台中,JOY,TEN,Arth,豪豪,米奇,Dean,雪怪,海月,企鵝,池,三藍活,oox,oooo,oooo,ooooo,,紅,藍,藍,藍,,"JOY, TEN, ARTH, 豪豪, 米奇, DEAN, 雪怪, 海月, 企鵝, 池",3,2,紅藍藍藍,0>1,1>4,,忠,派,忠,派,忠,刺,忠,146,N,N,N
1062,"128
258
370
456
258
oxx
3690
3479
4678
4679 138+
oooo
0>4 o
4670
1379 3-
4679 2358+
ooox
4>6 o
13460 4- 8+
13468 3-
13460 0- 25+
ooooo
6>9 o
13469 3- 78+
oooox",178540,,面瓦,2024-03-02 00:00:00,16,,台中,JOY,TEN,Arth,豪豪,米奇,Dean,海月,池,台中Andy,企鵝,三紅,oxx,oooo,ooox,ooooo,oooox,紅,藍,紅,藍,紅,"JOY, TEN, ARTH, 豪豪, 米奇, DEAN, 海月, 池, 台中ANDY, 企鵝",3,2,紅藍紅藍紅,0>4,4>6,6>9,梅,派,忠,刺,派,奧,梅,128,N,N,N
1063,"189
258 5- 7+
236
456
458
oox
2367
1789
1789 23+
ooox
0>7 o
4790 70-
5670 67-
1368 3-
2467 6- 0+
1359
xxxx",315924,,面瓦,2024-03-02 00:00:00,17,,台中,豪豪,米奇,Dean,海月,池,台中Andy,企鵝,JOY,TEN,Arth,三紅,oox,ooox,xxxx,,,紅,紅,紅,,,"豪豪, 米奇, DEAN, 海月, 池, 台中ANDY, 企鵝, JOY, TEN, ARTH",3,2,紅紅紅,0>7,,,忠,忠,,娜,梅,德,忠,189,N,N,N
1064,"167
259
578 3+
490
235
ooo
2356
2357
2358
2356 2- 9+
2350
ooox
0>4 o
1235 3-
2356 19+
ooox
4>2 o
35689 569-
24679 27-
25789 7-
24560
45670
oxxxx",740652,,面瓦,2024-03-02 00:00:00,18,,台中,米奇,Dean,海月,池,台中Andy,企鵝,JOY,TEN,Arth,豪豪,三紅,ooo,ooox,ooox,oxxxx,,藍,紅,紅,紅,,"米奇, DEAN, 海月, 池, 台中ANDY, 企鵝, JOY, TEN, ARTH, 豪豪",3,2,藍紅紅紅,0>4,4>2,,德,娜,梅,忠,娜,派,德,167,N,N,N
1065,"148
259
378
249
456
ooo
4569
1670
1456 8+
4569 5- 12+
4560
oooo
0>5 o
4560
oooo",769120,0.0,面瓦,2024-03-02 00:00:00,19,,台中,JOY,TEN,Arth,雪怪,豪豪,米奇,海月,池,台中Andy,Dean,三藍死,ooo,oooo,oooo,,,藍,藍,藍,,,"JOY, TEN, ARTH, 雪怪, 豪豪, 米奇, 海月, 池, 台中ANDY, DEAN",3,2,藍藍藍,0>5,,,梅,忠,,奧,忠,忠,梅,148,N,N,N
1066,"129
257
234
456
569
oox
4670
6780
2380
3490
6780
ooxx
0>3 o
1239 39-
2358
2348
3479 9-
3580
xxxx",530826,,面瓦,2024-03-02 00:00:00,20,,台中,TEN,Arth,雪怪,豪豪,米奇,海月,池,台中Andy,Dean,JOY,三紅,oox,ooxx,xxxx,,,紅,紅,紅,,,"TEN, ARTH, 雪怪, 豪豪, 米奇, 海月, 池, 台中ANDY, DEAN, JOY",3,2,紅紅紅,0>3,,,德,娜,,忠,忠,刺,德,129,N,N,N
1067,"168
250 0-
390 6+
458 5-
257
ooo
2570 6+
2570 2- 16+
3568 5-
2579 2-
1380
ooox
0>8 o
1578 5-
2578
3580
4780 70-
3580
ooox
8>3 o
36780 0-
34890 34890- 7+
23468 7+
oooxx",048129,,面瓦,2024-03-02 00:00:00,21,,台中,台中Andy,企鵝,JOY,TEN,Arth,豪豪,米奇,Dean,海月,池,三紅,ooo,ooox,ooox,oooxx,,藍,紅,紅,紅,,"台中ANDY, 企鵝, JOY, TEN, ARTH, 豪豪, 米奇, DEAN, 海月, 池",3,2,藍紅紅紅,0>8,8>3,,刺,德,忠,奧,娜,忠,刺,168,N,N,N
1068,"167
269
380
149
257
oxx
3680
1680 7+
1680 7+
1890
1680
oooo
0>1 o
1680
oooo
1>8 o
12680
oooox",723581,9.0,面瓦,2024-03-02 00:00:00,22,,台中,企鵝,JOY,TEN,Arth,豪豪,米奇,Dean,海月,池,台中Andy,三藍活,oxx,oooo,oooo,oooox,,紅,藍,藍,藍,,"企鵝, JOY, TEN, ARTH, 豪豪, 米奇, DEAN, 海月, 池, 台中ANDY",3,2,紅藍藍藍,0>1,1>8,,忠,梅,派,梅,忠,奧,忠,167,N,N,N
1069,"489 1+
567 28+
356
490
250
oox
6790
4790
1578 7-
4790
4790
ooox
0>4 o
1467
2456 456-
3456 46-
1467 90+
ooox",692385,,面瓦,2024-03-02 00:00:00,23,,台中,海月,池,台中Andy,企鵝,JOY,TEN,Arth,豪豪,米奇,Dean,三紅,oox,ooox,ooox,,,紅,紅,紅,,,"海月, 池, 台中ANDY, 企鵝, JOY, TEN, ARTH, 豪豪, 米奇, DEAN",3,2,紅紅紅,0>4,,,忠,忠,,忠,忠,梅,忠,489,N,N,Y
1070,"146
280
367
147
150
oox
1346 3-
2780
1489
2379 4+
2370
ooox
0>3 o
1367 7-
2579 9-
1349 4- 5+
2467 380+
oooo
3>8 o
24567
ooooo
8>5 x
12467 267- 4+
12467 0+
oooox",051934,,面瓦,2024-03-02 00:00:00,24,,台中,豪豪,米奇,海月,池,台中Andy,企鵝,JOY,TEN,Arth,雪怪,三紅,oox,ooox,oooo,ooooo,oooox,紅,紅,藍,藍,紅,"豪豪, 米奇, 海月, 池, 台中ANDY, 企鵝, JOY, TEN, ARTH, 雪怪",2,2,紅紅藍藍紅,0>3,3>8,8>5,刺,派,忠,德,梅,娜,刺,146,N,N,N
1071,"168
125
480 3+
469
257
oox
4690
2347
1289
3589
1280
ooxx
0>5 o
1479 9-
2389 8- 7+
3568
1469 69-
5890
oooo
5>6 
56890
ooooo
6>7 o
56890
ooooo",142385,9.0,面瓦,2024-03-02 00:00:00,25,,台中,海月,池,台中Andy,企鵝,Dean,TEN,Arth,雪怪,豪豪,米奇,三藍活,oox,ooxx,oooo,ooooo,ooooo,紅,紅,藍,藍,藍,"海月, 池, 台中ANDY, 企鵝, DEAN, TEN, ARTH, 雪怪, 豪豪, 米奇",2,2,紅紅藍藍藍,0>5,5>6,6>7,忠,梅,忠,刺,娜,梅,忠,168,N,N,N
1072,"136
289
356
458
580
oox
1679
5679
1479 8+
1469 78+
ooox
0>3 o
1390
1230 2-
2459
3579 5- 60+
2345
ooox",165782,,面瓦,2024-03-02 00:00:00,26,,台中,雪怪,豪豪,米奇,海月,池,台中Andy,Dean,JOY,TEN,Arth,三紅,oox,ooox,ooox,,,紅,紅,紅,,,"雪怪, 豪豪, 米奇, 海月, 池, 台中ANDY, DEAN, JOY, TEN, ARTH",3,2,紅紅紅,0>3,,,忠,忠,,刺,忠,德,忠,136,N,N,N
1073,"138
267
368
348
560
oox
2367
3679
2578
3679
5670
ooox
0>4 o
1379 0+7-
2678 7-
3679 10+6-
3467 10+6-
4567
ooox",301468,,線瓦,2024-03-02 00:00:00,1,,,豬羊,布冬,Liang,洋蔥,池,黃某人,HAO,黑羊,TEN,呂安,三紅,oox,ooox,ooox,,,紅,紅,紅,,,"豬羊, 布冬, LIANG, 洋蔥, 池, 黃某人, HAO, 黑羊, TEN, 呂安",4,4,紅紅紅,0>4,,,娜,奧,,德,奧,忠,娜,138,N,N,N
