		46.2%	46.2%	46.2%	45.8%	23.5%	30.7%	69.3%	45.9%	23.3%	30.8%	54%	69%	69%	69%	69%	31%	31%	31%	10%	10%	10%	10%	10%	10%	40%	40%	60%	42%	40%	40%	43%	48%	43%	40%	43%	44%	45%	47%	42%	43%	69%	66%	65%	69%	75%	70%	66%	69%	69%	74%	30%	28%	28%	31%	35%	31%	29%	31%	31%	34%	10%	10%	10%	10%	10%	10%	9%	10%	10%	9%	10%	10%	10%	10%	10%	10%	10%	10%	10%	10%																																																																	
player	總場次	勝率	角色理論	位置理論	紅方三紅	紅方梅死	紅方梅活	紅勝	藍方三紅	藍方梅死	藍方梅活	三藍	刺	娜	德	奧	派	梅	忠	刺	娜	德	奧	派	梅	忠	紅角率	藍角率	1勝	2勝	3勝	4勝	5勝	6勝	7勝	8勝	9勝	0勝	雙尾派	1-5勝	6-0勝	1紅勝	2紅勝	3紅勝	4紅勝	5紅勝	6紅勝	7紅勝	8紅勝	9紅勝	0紅勝	1藍勝	2藍勝	3藍勝	4藍勝	5藍勝	6藍勝	7藍勝	8藍勝	9藍勝	0藍勝	1紅	2紅	3紅	4紅	5紅	6紅	7紅	8紅	9紅	0紅	1藍	2藍	3藍	4藍	5藍	6藍	7藍	8藍	9藍	0藍	三紅	三藍死	三藍活	三紅	三藍死	三藍活	刺	娜	德	奧	派	梅	忠	紅勝	藍勝	總勝	刺	娜	德	奧	派	梅	忠	紅場	藍場	1紅勝	2紅勝	3紅勝	4紅勝	5紅勝	6紅勝	7紅勝	8紅勝	9紅勝	0紅勝	1藍勝	2藍勝	3藍勝	4藍勝	5藍勝	6藍勝	7藍勝	8藍勝	9藍勝	0藍勝	1紅	2紅	3紅	4紅	5紅	6紅	7紅	8紅	9紅	0紅	1藍	2藍	3藍	4藍	5藍	6藍	7藍	8藍	9藍	0藍
大星	337	40.1%	41.2%	41.5%	43.7%	23.8%	32.5%	67.5%	51.2%	25.1%	23.7%	49%	72%	65%	68%	66%	15%	19%	27%	7%	9%	11%	9%	10%	11%	42%	37%	63%	45%	31%	39%	33%	49%	34%	39%	26%	34%	31%	42%	40%	33%	79%	67%	56%	56%	73%	71%	59%	86%	69%	64%	28%	23%	31%	25%	37%	18%	29%	15%	19%	14%	11%	7%	7%	7%	12%	11%	17%	6%	13%	9%	9%	12%	6%	8%	9%	10%	15%	12%	12%	7%	55	30	41	108	53	50	18	20	26	21	5	7	38	85	50	135	25	31	38	32	33	36	142	126	211	11	6	5	5	11	10	13	6	11	7	5	6	4	4	7	4	9	4	5	2	14	9	9	9	15	14	22	7	16	11	18	26	13	16	19	22	31	26	26	14
LORI	324	50.3%	49.1%	49.5%	43.4%	24.5%	32.2%	67.8%	40.3%	23.2%	36.5%	60%	72%	64%	70%	66%	32%	39%	37%	12%	11%	9%	12%	10%	9%	38%	44%	56%	44%	49%	40%	46%	63%	45%	47%	48%	49%	45%	53%	48%	47%	47%	57%	80%	58%	72%	71%	86%	73%	60%	82%	42%	44%	20%	42%	54%	36%	21%	38%	36%	33%	12%	10%	10%	8%	13%	5%	10%	10%	14%	8%	10%	10%	11%	13%	7%	8%	8%	13%	6%	13%	62	35	46	73	42	66	28	23	21	25	10	11	45	97	66	163	39	36	30	38	31	28	122	143	181	8	8	12	7	13	5	12	11	12	9	8	8	4	10	7	5	3	9	4	8	17	14	15	12	18	7	14	15	20	11	19	18	20	24	13	14	14	24	11	24
菜	307	46.6%	45.6%	46.2%	38.3%	31.3%	30.5%	69.5%	43.0%	26.8%	30.2%	57%	74%	58%	70%	74%	39%	30%	28%	11%	8%	10%	12%	10%	9%	39%	42%	58%	51%	46%	25%	60%	43%	43%	36%	46%	34%	47%	45%	44%	41%	83%	82%	60%	77%	75%	56%	55%	78%	71%	64%	36%	33%	6%	44%	23%	35%	31%	35%	21%	38%	14%	9%	12%	10%	9%	14%	9%	7%	5%	11%	14%	12%	10%	5%	7%	11%	15%	9%	8%	9%	49	40	39	77	48	54	25	15	21	28	12	8	34	89	54	143	34	26	30	38	31	27	121	128	179	15	9	9	10	9	10	6	7	5	9	9	7	1	4	3	7	8	6	3	6	18	11	15	13	12	18	11	9	7	14	25	21	18	9	13	20	26	17	14	16
ED	286	48.6%	48.2%	47.8%	37.2%	24.8%	38.1%	61.9%	39.9%	20.2%	39.9%	60%	52%	50%	74%	69%	53%	43%	35%	9%	10%	12%	9%	10%	12%	38%	40%	60%	57%	26%	54%	53%	53%	46%	49%	52%	35%	39%	45%	49%	44%	58%	50%	58%	86%	44%	85%	44%	64%	70%	44%	57%	13%	52%	33%	57%	25%	50%	47%	22%	37%	11%	12%	11%	12%	8%	12%	8%	10%	9%	8%	12%	9%	12%	9%	8%	9%	10%	9%	10%	11%	42	28	43	69	35	69	13	14	25	18	16	15	38	70	69	139	25	28	34	26	30	35	108	113	173	7	7	7	12	4	11	4	7	7	4	12	2	11	5	8	4	9	7	4	7	12	14	12	14	9	13	9	11	10	9	21	16	21	15	14	16	18	15	18	19
TEN	258	39.5%	41.0%	40.3%	44.8%	20.8%	34.4%	65.6%	53.7%	22.2%	24.1%	46%	73%	74%	63%	54%	25%	32%	22%	9%	9%	10%	9%	6%	10%	47%	37%	63%	32%	31%	23%	42%	25%	40%	26%	42%	48%	47%	37%	31%	41%	64%	83%	43%	55%	43%	80%	54%	73%	83%	75%	22%	22%	15%	36%	20%	21%	8%	29%	25%	39%	11%	6%	7%	11%	7%	10%	14%	11%	13%	8%	14%	14%	8%	9%	9%	9%	8%	10%	7%	11%	43	20	33	87	36	39	16	17	17	13	4	8	27	63	39	102	22	23	27	24	16	25	121	96	162	7	5	3	6	3	8	7	8	10	6	5	5	2	5	3	3	1	5	3	7	11	6	7	11	7	10	13	11	12	8	23	23	13	14	15	14	13	17	12	18
午夜	256	41.4%	41.3%	41.6%	42.5%	17.0%	40.6%	59.4%	50.0%	21.3%	28.7%	50%	70%	50%	70%	50%	22%	21%	33%	8%	11%	12%	11%	9%	11%	38%	41%	59%	30%	43%	26%	34%	49%	49%	31%	44%	41%	41%	45%	37%	41%	47%	71%	60%	30%	67%	70%	45%	67%	78%	64%	21%	30%	19%	36%	38%	36%	25%	33%	27%	29%	14%	13%	5%	9%	11%	9%	10%	8%	8%	10%	13%	13%	11%	9%	9%	7%	11%	8%	10%	9%	45	18	43	75	32	43	14	14	21	14	5	6	32	63	43	106	20	28	30	28	23	29	98	106	150	7	10	3	3	8	7	5	6	7	7	4	6	3	5	5	4	4	4	4	4	15	14	5	10	12	10	11	9	9	11	19	20	16	14	13	11	16	12	15	14
豬羊	247	55.5%	54.2%	55.5%	52.8%	24.5%	22.6%	77.4%	37.6%	23.4%	39.0%	62%	74%	88%	73%	71%	45%	44%	37%	11%	13%	12%	7%	9%	7%	41%	43%	57%	54%	45%	47%	51%	57%	56%	59%	54%	48%	49%	53%	51%	53%	75%	86%	70%	63%	80%	100%	89%	89%	57%	100%	44%	20%	38%	42%	47%	38%	47%	40%	33%	38%	11%	13%	9%	15%	9%	5%	8%	8%	13%	7%	13%	11%	11%	9%	11%	6%	11%	11%	4%	15%	56	26	24	53	33	55	20	28	22	12	10	8	37	82	55	137	27	32	30	17	22	18	101	106	141	9	12	7	10	8	5	8	8	8	7	8	3	6	5	7	3	7	6	2	8	12	14	10	16	10	5	9	9	14	7	18	15	16	12	15	8	15	15	6	21
很乖	243	47.7%	46.0%	46.8%	47.3%	22.7%	30.0%	70.0%	48.1%	22.6%	29.3%	52%	74%	67%	70%	71%	19%	35%	31%	11%	14%	14%	7%	11%	7%	37%	45%	55%	38%	48%	25%	20%	55%	45%	42%	35%	79%	43%	50%	37%	51%	80%	80%	67%	60%	64%	69%	71%	56%	77%	75%	29%	33%	11%	0%	44%	31%	25%	25%	82%	33%	5%	9%	8%	9%	13%	12%	13%	8%	20%	4%	11%	11%	14%	10%	7%	12%	12%	9%	8%	7%	52	25	33	64	30	39	20	22	23	12	5	6	28	77	39	116	27	33	33	17	26	17	90	110	133	4	8	6	6	9	9	10	5	17	3	4	5	2	0	4	5	4	3	9	3	5	10	9	10	14	13	14	9	22	4	14	15	18	13	9	16	16	12	11	9
呂安	231	47.6%	46.9%	47.6%	45.3%	24.2%	30.5%	69.5%	44.1%	23.5%	32.4%	56%	64%	65%	75%	74%	40%	29%	30%	10%	11%	10%	10%	13%	7%	39%	41%	59%	46%	34%	52%	41%	39%	46%	43%	52%	35%	54%	47%	42%	46%	67%	70%	82%	88%	67%	60%	67%	75%	60%	63%	40%	15%	33%	28%	31%	38%	36%	38%	25%	44%	6%	11%	12%	8%	6%	11%	6%	13%	11%	17%	11%	10%	9%	13%	10%	10%	10%	10%	12%	7%	43	23	29	60	32	44	14	17	18	17	12	5	27	66	44	110	22	26	24	23	30	17	89	95	136	4	7	9	7	4	6	4	9	6	10	6	2	4	5	4	5	5	5	4	4	6	10	11	8	6	10	6	12	10	16	15	13	12	18	13	13	14	13	16	9
VASH	216	48.1%	47.8%	49.5%	40.2%	23.9%	35.9%	64.1%	41.1%	22.6%	36.3%	59%	60%	79%	61%	60%	42%	19%	39%	12%	9%	13%	9%	9%	10%	39%	43%	57%	36%	55%	22%	82%	37%	35%	60%	41%	51%	51%	43%	43%	48%	75%	54%	80%	80%	71%	56%	64%	57%	57%	60%	21%	56%	8%	83%	8%	27%	58%	33%	50%	45%	9%	14%	5%	5%	18%	10%	12%	8%	8%	11%	11%	7%	10%	5%	10%	12%	10%	7%	18%	9%	37	22	33	51	28	45	15	15	17	12	8	4	33	59	45	104	25	19	28	20	19	21	84	92	124	6	7	4	4	12	5	7	4	4	6	3	5	1	5	1	4	7	3	11	5	8	13	5	5	17	9	11	7	7	10	14	9	13	6	13	15	12	9	22	11
